reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,NL,24680601.173,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,ID,23026035.804,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,TL,22450889.674,2023,un_comtrade,energy,2711,natural_gas,USD
JP,NO,19233898.667,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,PH,18763215.696,2023,un_comtrade,energy,2701,coal,USD
JP,CO,18607725.607,2023,un_comtrade,energy,2709,crude_oil,USD
JP,BE,18541933.39,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,CA,17897562.781,2024,un_comtrade,energy,2709,crude_oil,USD
JP,DE,17707002.605,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,ID,17649416.951,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,IQ,16893250.778,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,SS,16685727.178,2023,un_comtrade,energy,2709,crude_oil,USD
JP,DE,16526948.629,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,DE,15766401.598,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,SA,15100976.106,2024,un_comtrade,energy,2711,natural_gas,USD
JP,MZ,14418155.725,2024,un_comtrade,energy,2701,coal,USD
JP,PE,12086672.727,2023,un_comtrade,energy,2701,coal,USD
JP,OM,11358487.205,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,PE,10367214.613,2024,un_comtrade,energy,2701,coal,USD
JP,SS,9115509.379,2024,un_comtrade,energy,2709,crude_oil,USD
JP,VN,9095253.88,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,BN,8501991.078,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,PE,8405274.448,2022,un_comtrade,energy,2701,coal,USD
JP,GB,7134784.965,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,GB,7056576.951,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,VN,5757005.405,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,VN,5253442.92,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,TH,5180783.032,2024,un_comtrade,energy,2711,natural_gas,USD
JP,IT,4014697.908,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,ID,3560078.905,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,CA,3478117.499,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,CA,3315408.854,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,BE,3297799.219,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,GB,3212957.866,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,CA,2490045.539,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,KZ,2486880.504,2023,un_comtrade,energy,2701,coal,USD
JP,HK,2293198.563,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,HK,2145877.109,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,FI,2014844.056,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,ES,1896194.76,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,SE,1520094.453,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,NL,1494388.038,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,SE,1250390.543,2024,un_comtrade,energy,2710,petroleum_products,USD
